#1 AntPos X	#2 AntPos Y	#3 Distance form nest	#4 Total Distance	#5 Total Y Distance
0.0463214	-0.029668	0.0550079	0.0550079	-0.029668
0.103305	-0.0759658	0.128229	0.128229	-0.0759658
0.161977	-0.137806	0.212666	0.212666	-0.137806
0.21056	-0.211445	0.298403	0.298403	-0.211445
0.246803	-0.291471	0.381925	0.381925	-0.291471
0.273367	-0.383645	0.471076	0.471076	-0.383645
0.272737	-0.474551	0.547343	0.547343	-0.474551
0.266549	-0.570609	0.629796	0.629796	-0.570609
0.247531	-0.670748	0.714965	0.714965	-0.670748
0.224566	-0.766244	0.798474	0.798474	-0.766244
0.194214	-0.858856	0.880541	0.880541	-0.858856
0.164868	-0.951144	0.965327	0.965327	-0.951144
0.135971	-1.0462	1.055	1.055	-1.0462
0.0995465	-1.14598	1.1503	1.1503	-1.14598
0.0676617	-1.24024	1.24208	1.24208	-1.24024
0.0426768	-1.33287	1.33356	1.33356	-1.33287
0.0223659	-1.43061	1.43078	1.43078	-1.43061
0.00538228	-1.52991	1.52992	1.52992	-1.52991
-0.00644377	-1.6316	1.63161	1.63161	-1.6316
-0.0150675	-1.73022	1.73029	1.73029	-1.73022
-0.0269411	-1.82967	1.82987	1.82987	-1.82967
-0.029335	-1.93085	1.93108	1.93108	-1.93085
-0.0342457	-2.02987	2.03016	2.03016	-2.02987
-0.037665	-2.13659	2.13692	2.13692	-2.13659
-0.0427685	-2.25626	2.25667	2.25667	-2.25626
-0.0368217	-2.36864	2.36892	2.36892	-2.36864
-0.0316031	-2.47485	2.47505	2.47505	-2.47485
-0.0275153	-2.57927	2.57941	2.57941	-2.57927
-0.0371698	-2.6904	2.69065	2.69065	-2.6904
-0.0459357	-2.79443	2.79481	2.79481	-2.79443
-0.0534764	-2.89676	2.89725	2.89725	-2.89676
-0.0688918	-2.98557	2.98637	2.98637	-2.98557
-0.074216	-3.08453	3.08543	3.08543	-3.08453
-0.0758024	-3.17711	3.17801	3.17801	-3.17711
-0.074219	-3.2758	3.27664	3.27664	-3.2758
-0.0674948	-3.37781	3.37849	3.37849	-3.37781
