#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.0466781	0.0173095	0.0497841
0.115141	0.0452513	0.123714
0.195981	0.0742606	0.209578
0.284962	0.102203	0.302735
0.380972	0.125543	0.401125
0.475844	0.151655	0.499426
0.574414	0.184555	0.603334
0.669757	0.217226	0.704103
0.763836	0.252052	0.804348
0.856817	0.29074	0.904801
0.952235	0.327776	1.00707
1.04601	0.364194	1.1076
1.14302	0.406031	1.213
1.24276	0.443459	1.31951
1.33787	0.480283	1.42147
1.43244	0.515469	1.52236
1.52453	0.550192	1.62077
1.62194	0.581277	1.72296
1.71425	0.631234	1.82678
1.80366	0.678615	1.9271
1.88984	0.728344	2.02533
1.9763	0.778008	2.12393
2.06652	0.829524	2.2268
2.14919	0.884221	2.32397
2.2304	0.944469	2.42212
2.31425	1.0027	2.52214
2.39077	1.07003	2.6193
2.46719	1.13149	2.71427
2.54369	1.19484	2.81034
2.61709	1.26434	2.9065
2.68519	1.33524	2.99885
2.75219	1.40703	3.091
2.8198	1.47946	3.18435
2.88695	1.54971	3.27659
2.96028	1.62418	3.37657
3.03121	1.6998	3.47528
3.10665	1.78045	3.58068
3.17825	1.85569	3.68033
3.24906	1.93411	3.78116
3.32568	2.01787	3.88998
3.39258	2.10208	3.99103
3.45576	2.18102	4.08645
3.51619	2.2642	4.18213
3.57752	2.34568	4.27795
3.63831	2.4223	4.37091
3.70209	2.49943	4.46683
3.76438	2.57905	4.56312
3.82743	2.65976	4.66085
3.88711	2.73832	4.75479
3.94708	2.81735	4.84942
4.00523	2.89397	4.94135
4.06735	2.97328	5.03822
4.12943	3.05259	5.13522
4.19158	3.13024	5.23142
4.26467	3.20426	5.33429
4.33643	3.27502	5.43419
4.40878	3.34586	5.53463
4.47982	3.41991	5.63601
4.55301	3.49315	5.73864
