#1 AntPos X	#2 AntPos Y	#3 Distance form nest	#4 Total Distance	#5 Total Y Distance
0.0501781	0.0865573	0.10005	0.10005	0.0865573
0.0954875	0.175931	0.200174	0.200174	0.175931
0.133942	0.268757	0.300285	0.300285	0.268757
0.163853	0.365072	0.400156	0.400156	0.365072
0.183965	0.46434	0.499454	0.499454	0.46434
0.193596	0.5656	0.597815	0.597815	0.5656
0.192715	0.667688	0.694943	0.694943	0.667688
0.181938	0.769481	0.790698	0.790698	0.769481
0.162444	0.870114	0.885147	0.885147	0.870114
0.135825	0.969112	0.978584	0.978584	0.969112
0.103932	1.06643	1.07148	1.07148	1.06643
0.0687183	1.16241	1.16444	1.16444	1.16241
0.032134	1.25764	1.25805	1.25805	1.25764
-0.00395348	1.35285	1.35286	1.35286	1.35285
-0.037811	1.44872	1.44921	1.44921	1.44872
-0.0678861	1.54574	1.54723	1.54723	1.54574
-0.0928591	1.64417	1.64679	1.64679	1.64417
-0.111703	1.74401	1.74758	1.74758	1.74401
-0.123744	1.84496	1.8491	1.8491	1.84496
-0.1287	1.94659	1.95084	1.95084	1.94659
-0.126698	2.04838	2.0523	2.0523	2.04838
-0.118247	2.14987	2.15312	2.15312	2.14987
-0.104184	2.2507	2.25311	2.25311	2.2507
-0.0855917	2.35072	2.35228	2.35228	2.35072
-0.0637161	2.44996	2.45079	2.45079	2.44996
-0.0398805	2.54859	2.54891	2.54891	2.54859
-0.0154136	2.64693	2.64697	2.64697	2.64693
0.00841	2.74528	2.74529	2.74529	2.74528
0.0304215	2.84395	2.84411	2.84411	2.84395
0.0496022	2.94314	2.94356	2.94356	2.94314
0.0651245	3.04293	3.04363	3.04363	3.04293
0.0763864	3.14329	3.14421	3.14421	3.14329
0.0830373	3.24406	3.24512	3.24512	3.24406
0.0849893	3.34504	3.34612	3.34612	3.34504
0.0824118	3.44601	3.447	3.447	3.44601
0.0757074	3.54678	3.54759	3.54759	3.54678
0.0654751	3.64721	3.6478	3.6478	3.64721
0.0524616	3.74726	3.74763	3.74763	3.74726
0.0375101	3.84697	3.84716	3.84716	3.84697
0.0215088	3.94644	3.9465	3.9465	3.94644
0.00534316	4.04581	4.04581	4.04581	4.04581
-0.0101466	4.14522	4.14523	4.14523	4.14522
-0.0242033	4.24479	4.24486	4.24486	4.24479
-0.0361847	4.3446	4.34475	4.34475	4.3446
-0.0455898	4.44466	4.44489	4.44489	4.44466
-0.052078	4.54495	4.54524	4.54524	4.54495
-0.0554797	4.64538	4.64571	4.64571	4.64538
-0.055797	4.74587	4.7462	4.7462	4.74587
-0.0531948	4.84633	4.84662	4.84662	4.84633
-0.0479821	4.94666	4.9469	4.9469	4.94666
-0.0405866	5.04684	5.047	5.047	5.04684
-0.0315236	5.14685	5.14694	5.14694	5.14685
-0.0213632	5.24671	5.24675	5.24675	5.24671
-0.0106973	5.34649	5.3465	5.3465	5.34649
-0.000107703	5.44624	5.44624	5.44624	5.44624
0.00986216	5.54602	5.54603	5.54603	5.54602
0.0187325	5.64589	5.64592	5.64592	5.64589
0.0261076	5.74586	5.74592	5.74592	5.74586
0.031692	5.84594	5.84603	5.84603	5.84594
0.0352999	5.94611	5.94621	5.94621	5.94611
0.0368592	6.04632	6.04644	6.04644	6.04632
0.0364095	6.14655	6.14666	6.14666	6.14655
0.0340928	6.24674	6.24684	6.24684	6.24674
0.0301408	6.34688	6.34695	6.34695	6.34688
0.0248564	6.44694	6.44699	6.44699	6.44694
0.0185936	6.54693	6.54696	6.54696	6.54693
0.011736	6.64686	6.64687	6.64687	6.64686
0.00467503	6.74677	6.74677	6.74677	6.74677
-0.00221094	6.84666	6.84667	6.84667	6.84666
-0.00857482	6.94659	6.94659	6.94659	6.94659
-0.0141169	7.04655	7.04656	7.04656	7.04655
-0.0185978	7.14656	7.14658	7.14658	7.14656
