#1 AntPos X	#2 AntPos Y	#3 Distance form nest	#4 Total Distance	#5 Total Y Distance
0.0162575	-0.0395476	0.0427588	0.0427588	-0.0395476
0.0517313	-0.0900034	0.103811	0.103811	-0.0900034
0.0908833	-0.168831	0.191739	0.191739	-0.168831
0.126656	-0.254711	0.284464	0.284464	-0.254711
0.159616	-0.348467	0.383284	0.383284	-0.348467
0.185977	-0.43722	0.47513	0.47513	-0.43722
0.211773	-0.542578	0.582442	0.582442	-0.542578
0.233207	-0.639033	0.680256	0.680256	-0.639033
0.23589	-0.728212	0.765465	0.765465	-0.728212
0.218934	-0.825826	0.854354	0.854354	-0.825826
0.207528	-0.931073	0.95392	0.95392	-0.931073
0.18984	-1.03515	1.05241	1.05241	-1.03515
0.171316	-1.13196	1.14485	1.14485	-1.13196
0.144307	-1.23764	1.24603	1.24603	-1.23764
0.131706	-1.34102	1.34747	1.34747	-1.34102
0.112951	-1.43883	1.44325	1.44325	-1.43883
0.0929701	-1.53652	1.53933	1.53933	-1.53652
0.0702109	-1.64019	1.64169	1.64169	-1.64019
0.0499899	-1.73756	1.73828	1.73828	-1.73756
0.0355663	-1.84304	1.84339	1.84339	-1.84304
0.00925359	-1.93708	1.9371	1.9371	-1.93708
-0.0151737	-2.03611	2.03617	2.03617	-2.03611
-0.0414033	-2.13702	2.13742	2.13742	-2.13702
-0.0674423	-2.22384	2.22486	2.22486	-2.22384
-0.0939702	-2.31662	2.31852	2.31852	-2.31662
-0.112851	-2.41703	2.41967	2.41967	-2.41703
-0.132087	-2.51249	2.51596	2.51596	-2.51249
-0.164795	-2.60663	2.61183	2.61183	-2.60663
-0.198894	-2.70494	2.71224	2.71224	-2.70494
-0.238958	-2.79606	2.80625	2.80625	-2.79606
-0.273788	-2.88067	2.89365	2.89365	-2.88067
-0.303837	-2.97227	2.98776	2.98776	-2.97227
-0.320412	-3.05991	3.07664	3.07664	-3.05991
-0.333976	-3.15064	3.16829	3.16829	-3.15064
-0.342653	-3.25177	3.26978	3.26978	-3.25177
-0.357716	-3.34296	3.36205	3.36205	-3.34296
-0.367473	-3.43839	3.45797	3.45797	-3.43839
-0.372936	-3.53703	3.55664	3.55664	-3.53703
-0.371654	-3.62816	3.64714	3.64714	-3.62816
-0.363534	-3.71799	3.73573	3.73573	-3.71799
-0.367025	-3.81578	3.8334	3.8334	-3.81578
-0.367704	-3.91561	3.93284	3.93284	-3.91561
-0.352191	-4.00244	4.0179	4.0179	-4.00244
-0.330728	-4.09714	4.11047	4.11047	-4.09714
-0.31317	-4.18811	4.19981	4.19981	-4.18811
-0.294257	-4.28352	4.29361	4.29361	-4.28352
-0.270932	-4.36666	4.37505	4.37505	-4.36666
-0.245201	-4.46495	4.47168	4.47168	-4.46495
-0.217829	-4.56135	4.56655	4.56655	-4.56135
-0.167862	-4.65441	4.65743	4.65743	-4.65441
-0.115725	-4.7505	4.75191	4.75191	-4.7505
-0.071817	-4.84862	4.84915	4.84915	-4.84862
-0.0326685	-4.94634	4.94645	4.94645	-4.94634
0.00372277	-5.04758	5.04759	5.04759	-5.04758
0.0373369	-5.14538	5.14552	5.14552	-5.14538
0.064075	-5.25009	5.25048	5.25048	-5.25009
0.0838556	-5.36003	5.36068	5.36068	-5.36003
0.0994589	-5.47493	5.47584	5.47584	-5.47493
0.110716	-5.58827	5.58937	5.58937	-5.58827
0.117626	-5.7009	5.70211	5.70211	-5.7009
0.131511	-5.80687	5.80835	5.80835	-5.80687
0.136201	-5.90791	5.90948	5.90948	-5.90791
0.133721	-6.00416	6.00565	6.00565	-6.00416
0.118638	-6.10794	6.10909	6.10909	-6.10794
0.0978425	-6.21188	6.21265	6.21265	-6.21188
