# AntPos X	# AntPos Y	# Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.0115384	0.0134122	0.0176924
0.0269821	0.0288143	0.0394753
0.0450361	0.0463145	0.064601
0.0636668	0.0655597	0.0913868
0.081885	0.0846468	0.117772
0.101588	0.105643	0.146562
0.122619	0.126962	0.176507
0.143363	0.147685	0.205825
0.163337	0.16772	0.234113
0.183722	0.186115	0.26152
0.203561	0.205196	0.289037
0.22322	0.225377	0.31721
0.243626	0.245499	0.345866
0.263454	0.266504	0.374743
0.283649	0.287502	0.403874
0.303119	0.306573	0.431124
0.322662	0.325968	0.458656
0.3428	0.345897	0.486987
0.362996	0.365921	0.515427
0.383073	0.385656	0.543577
0.403225	0.405593	0.571924
0.422805	0.424375	0.599048
0.443801	0.442833	0.626945
0.466068	0.461711	0.656046
0.488265	0.479909	0.684628
0.510713	0.498646	0.713776
0.536797	0.511334	0.741359
0.562971	0.522378	0.767994
0.58898	0.533442	0.794643
0.615775	0.544655	0.822088
0.643444	0.554888	0.849659
0.67174	0.564853	0.877663
0.699686	0.575151	0.905737
0.726472	0.584689	0.932535
0.754192	0.593291	0.959583
0.780481	0.602792	0.986158
0.805884	0.614484	1.01343
0.831367	0.625285	1.04026
0.85759	0.636419	1.06794
0.885187	0.647146	1.09652
0.911881	0.656786	1.12379
0.938902	0.666501	1.15142
0.966277	0.675916	1.17922
0.992657	0.685358	1.20627
1.01885	0.692532	1.23193
1.04513	0.700244	1.25803
1.07108	0.708526	1.28422
1.09811	0.718555	1.31231
1.12354	0.727945	1.33875
1.14886	0.739373	1.36622
1.17183	0.751142	1.3919
1.19521	0.765774	1.41948
1.22622	0.768935	1.44737
1.25586	0.771785	1.47405
1.285	0.774668	1.50045
1.31362	0.777424	1.52643
1.34199	0.779847	1.55213
1.37025	0.782199	1.57779
1.39743	0.786261	1.60344
1.4271	0.790313	1.63133
1.45506	0.794441	1.65781
1.48311	0.798567	1.68443
1.5102	0.803303	1.71056
1.53793	0.808257	1.73738
1.56534	0.813244	1.76399
1.59357	0.817534	1.79104
1.62226	0.82236	1.8188
1.65034	0.827316	1.8461
1.67818	0.831258	1.87277
1.70611	0.834862	1.89942
1.73375	0.836553	1.92503
