# Ant nr. 1 total distance.	# Ant nr. 1 total Y distance.
16.4841	2.74581
# Ant nr. 2 total distance.	# Ant nr. 2 total Y distance.
18.1538	-16.4464
# Ant nr. 3 total distance.	# Ant nr. 3 total Y distance.
19.9595	19.9594
# Ant nr. 4 total distance.	# Ant nr. 4 total Y distance.
18.6798	6.01943
# Ant nr. 5 total distance.	# Ant nr. 5 total Y distance.
18.635	16.0931
# Ant nr. 6 total distance.	# Ant nr. 6 total Y distance.
19.1205	12.4526
# Ant nr. 7 total distance.	# Ant nr. 7 total Y distance.
19.2251	19.2245
# Ant nr. 8 total distance.	# Ant nr. 8 total Y distance.
17.9737	3.99667
# Ant nr. 9 total distance.	# Ant nr. 9 total Y distance.
20.0933	-20.0932
# Ant nr. 10 total distance.	# Ant nr. 10 total Y distance.
17.914	5.47437
# Ant nr. 11 total distance.	# Ant nr. 11 total Y distance.
20.0348	-20.0348
# Ant nr. 12 total distance.	# Ant nr. 12 total Y distance.
19.3641	19.3636
# Ant nr. 13 total distance.	# Ant nr. 13 total Y distance.
19.8066	-19.8064
# Ant nr. 14 total distance.	# Ant nr. 14 total Y distance.
19.0316	-4.79874
# Ant nr. 15 total distance.	# Ant nr. 15 total Y distance.
20.0445	-20.0445
# Ant nr. 16 total distance.	# Ant nr. 16 total Y distance.
19.7034	-12.9813
# Ant nr. 17 total distance.	# Ant nr. 17 total Y distance.
19.1126	-14.0464
# Ant nr. 18 total distance.	# Ant nr. 18 total Y distance.
20.0233	-20.0233
# Ant nr. 19 total distance.	# Ant nr. 19 total Y distance.
19.4527	19.4526
# Ant nr. 20 total distance.	# Ant nr. 20 total Y distance.
19.8658	-19.8658
