#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.0462568	0.0257198	0.0529264
0.109814	0.0689369	0.129659
0.180349	0.119675	0.216443
0.258757	0.178314	0.314247
0.326255	0.253751	0.413318
0.412059	0.318317	0.520691
0.495862	0.382344	0.626152
0.57934	0.444493	0.730211
0.663367	0.515859	0.840337
0.742545	0.583092	0.944124
0.81719	0.652906	1.04599
0.880727	0.724957	1.14072
0.948282	0.797348	1.23895
1.00881	0.880935	1.3393
1.07246	0.963847	1.44194
1.11572	1.04544	1.52898
1.15177	1.13959	1.62026
1.19075	1.23603	1.71629
1.23321	1.33702	1.81891
1.29277	1.4352	1.93159
1.33883	1.53045	2.0334
1.38656	1.63005	2.14
1.4263	1.72828	2.24082
1.46135	1.82298	2.33641
1.49339	1.91736	2.43033
1.52564	2.01684	2.52888
1.55923	2.11485	2.6275
1.59718	2.21995	2.7348
1.62803	2.32058	2.8347
1.65579	2.41943	2.93178
1.671	2.52688	3.02941
1.68625	2.62499	3.11994
1.70558	2.72193	3.21215
1.73538	2.8256	3.31596
1.76895	2.92205	3.41578
1.79258	3.01422	3.50697
1.81015	3.10228	3.59176
1.84458	3.19922	3.6929
1.85068	3.29399	3.77828
