#1 AntPos X	#2 AntPos Y	#3 Distance form nest	#4 Total Distance	#5 Total Y Distance
0.0324784	-0.0489554	0.0587493	0.0587493	-0.0489554
0.0586704	-0.12434	0.137487	0.137487	-0.12434
0.0793669	-0.213182	0.227477	0.227477	-0.213182
0.0951112	-0.305089	0.319571	0.319571	-0.305089
0.0940665	-0.399298	0.410228	0.410228	-0.399298
0.0970209	-0.488744	0.498281	0.498281	-0.488744
0.0891589	-0.581944	0.588735	0.588735	-0.581944
0.0733368	-0.682421	0.68635	0.68635	-0.682421
0.0558552	-0.781508	0.783502	0.783502	-0.781508
0.0360678	-0.876232	0.876974	0.876974	-0.876232
0.0134916	-0.971444	0.971538	0.971538	-0.971444
-0.00224286	-1.07257	1.07258	1.07258	-1.07257
-0.0138733	-1.17324	1.17332	1.17332	-1.17324
-0.0207586	-1.25148	1.25166	1.25166	-1.25148
-0.0304753	-1.33685	1.33719	1.33719	-1.33685
-0.0394888	-1.43196	1.43251	1.43251	-1.43196
-0.0410469	-1.52084	1.52139	1.52139	-1.52084
-0.0350418	-1.6143	1.61468	1.61468	-1.6143
-0.0127771	-1.72091	1.72096	1.72096	-1.72091
0.014522	-1.82582	1.82587	1.82587	-1.82582
0.0382294	-1.92153	1.92191	1.92191	-1.92153
0.0597249	-2.01866	2.01954	2.01954	-2.01866
0.0773438	-2.11295	2.11436	2.11436	-2.11295
0.0831157	-2.21994	2.22149	2.22149	-2.21994
0.085576	-2.32462	2.32619	2.32619	-2.32462
0.0798426	-2.44331	2.44462	2.44462	-2.44331
0.0848703	-2.55214	2.55355	2.55355	-2.55214
0.0780067	-2.65984	2.66099	2.66099	-2.65984
0.067831	-2.76238	2.76321	2.76321	-2.76238
0.0558154	-2.86424	2.86478	2.86478	-2.86424
0.036149	-2.97127	2.97149	2.97149	-2.97127
0.0212028	-3.07415	3.07422	3.07422	-3.07415
0.0042528	-3.17119	3.1712	3.1712	-3.17119
0.00374885	-3.26767	3.26767	3.26767	-3.26767
0.000924546	-3.36495	3.36495	3.36495	-3.36495
0.0068708	-3.46286	3.46286	3.46286	-3.46286
0.0135539	-3.56787	3.5679	3.5679	-3.56787
0.0138852	-3.68023	3.68026	3.68026	-3.68023
0.0175721	-3.79269	3.79273	3.79273	-3.79269
0.0225829	-3.89266	3.89272	3.89272	-3.89266
0.0338252	-4.00288	4.00303	4.00303	-4.00288
0.0376321	-4.1131	4.11327	4.11327	-4.1131
0.0393329	-4.21941	4.2196	4.2196	-4.21941
