#1 AntPos X	#2 AntPos Y	#3 Distance form nest	#4 Total Distance	#5 Total Y Distance
0.0455966	0.0284986	0.05377	0.05377	0.0284986
0.113783	0.0677231	0.132412	0.132412	0.0677231
0.191541	0.111504	0.221632	0.221632	0.111504
0.273739	0.159699	0.316918	0.316918	0.159699
0.363794	0.208446	0.41928	0.41928	0.208446
0.448748	0.25598	0.516625	0.516625	0.25598
0.539571	0.300725	0.617716	0.617716	0.300725
0.628213	0.347676	0.718005	0.718005	0.347676
0.696701	0.398321	0.802528	0.802528	0.398321
0.776667	0.449049	0.897138	0.897138	0.449049
0.86104	0.503849	0.997624	0.997624	0.503849
0.945393	0.56856	1.10319	1.10319	0.56856
1.02754	0.62336	1.20184	1.20184	0.62336
1.10096	0.671722	1.2897	1.2897	0.671722
1.18284	0.720004	1.38475	1.38475	0.720004
1.26776	0.763712	1.48002	1.48002	0.763712
1.3537	0.813943	1.57956	1.57956	0.813943
1.44116	0.859209	1.67785	1.67785	0.859209
1.53586	0.902933	1.78162	1.78162	0.902933
1.62934	0.944296	1.8832	1.8832	0.944296
1.72228	0.987525	1.98531	1.98531	0.987525
1.81655	1.04002	2.09321	2.09321	1.04002
1.9149	1.08006	2.19849	2.19849	1.08006
2.0194	1.1204	2.30939	2.30939	1.1204
2.11787	1.16503	2.41716	2.41716	1.16503
2.21263	1.20721	2.52054	2.52054	1.20721
2.3102	1.25061	2.62699	2.62699	1.25061
2.39743	1.29267	2.72373	2.72373	1.29267
2.51239	1.33094	2.84315	2.84315	1.33094
2.61796	1.36548	2.95267	2.95267	1.36548
2.71705	1.40018	3.05661	3.05661	1.40018
2.81288	1.44647	3.163	3.163	1.44647
2.90639	1.48848	3.26537	3.26537	1.48848
2.99801	1.5268	3.36439	3.36439	1.5268
3.08886	1.56986	3.4649	3.4649	1.56986
3.18422	1.61132	3.5687	3.5687	1.61132
3.29169	1.63863	3.677	3.677	1.63863
3.3912	1.66952	3.77988	3.77988	1.66952
3.49364	1.70258	3.88643	3.88643	1.70258
3.59756	1.73841	3.99556	3.99556	1.73841
3.68849	1.7765	4.09401	4.09401	1.7765
3.7764	1.8179	4.19118	4.19118	1.8179
3.87275	1.8577	4.29526	4.29526	1.8577
3.96771	1.89732	4.39802	4.39802	1.89732
4.06157	1.9405	4.50132	4.50132	1.9405
4.15284	1.978	4.59984	4.59984	1.978
4.23988	2.01733	4.69534	4.69534	2.01733
4.32923	2.06072	4.79466	4.79466	2.06072
4.40277	2.11903	4.88617	4.88617	2.11903
4.4725	2.17495	4.97329	4.97329	2.17495
4.54419	2.23561	5.06435	5.06435	2.23561
4.61273	2.29916	5.15397	5.15397	2.29916
4.68699	2.36701	5.25077	5.25077	2.36701
4.7617	2.45663	5.35806	5.35806	2.45663
4.83136	2.54047	5.45857	5.45857	2.54047
4.89289	2.62421	5.55219	5.55219	2.62421
4.95625	2.71165	5.64955	5.64955	2.71165
5.01643	2.79318	5.74164	5.74164	2.79318
5.07338	2.8788	5.83324	5.83324	2.8788
5.12672	2.95756	5.91865	5.91865	2.95756
5.18196	3.0425	6.00912	6.00912	3.0425
5.23341	3.12311	6.09446	6.09446	3.12311
5.29151	3.2082	6.1881	6.1881	3.2082
5.33952	3.29701	6.27541	6.27541	3.29701
5.39355	3.3873	6.369	6.369	3.3873
